id_doc,type_of_document,states,sub_domain,domain,regulation_tariff,title,order_date,notification_date,comment_date,comments_given_on
68,GZT-FIN,CG,"DR,GN,TD,TR","Generation, Transmission, Distribution, Tariff",REG,CSERC (Grid Interactive Distributed Renewable Energy Sources) Regulations 2019,05/10/2019,0000-00-00,0000-00-00,0000-00-00
69,PET,UP,CB,Others,ORD,UPERC Tariff Order for (NPCL) Business Plan (FY 21 to FY 25),26/11/2020,0000-00-00,0000-00-00,0000-00-00
70,GZT-FIN,CG,"SLDC,TD","Transmission, Tariff",REG,"CSERC (Terms and Conditions for determination of tariff according to Multi-Year Tariff principles and Methodolory and Procedure for determination of Expected revenue from Tariff and Charges) Regulations, 2021",18/11/2021,0000-00-00,0000-00-00,0000-00-00
71,GZT-FIN,DL,OTH,Others,RUL,"DERC (Budget) Rules, 2006",0000-00-00,10/11/2006,0000-00-00,0000-00-00
72,TUP,HR,"SLDC,TD", TD ,TRF,"HPERC Tariff Order for (HPSLDC) True-up (FY 19 to FY 20), Provisional True-up (FY 21), MTR (FY 22 to FY 24)",12/08/2021,0000-00-00,0000-00-00,0000-00-00
73,GZT-FIN,CG,OTH,Others,REG,"CSERC (Recruitment and conditions of service of officers and employees) Regulations, 2005",18/10/2005,0000-00-00,0000-00-00,0000-00-00
74,TR-TUP,HR,"DR,TD", TD ,TRF,"HPERC Tariff Order for (HPSEBL) True-up (FY 18), APR (FY 20 to FY 24), ARR (FY 21)",06/06/2020,0000-00-00,0000-00-00,0000-00-00
75,TR-TUP,CG,"DR,GN,TR","Generation, Transmission, Distribution",TRF,"CSERC Detail Tariff Order for CSPGCL, CSPTCL, SLDC and CSPDCL for FY 2020-21",30/05/2020,0000-00-00,0000-00-00,0000-00-00
76,PET,UP,"DR,TD","Distribution, Tariff",TRF,"UPERC Tariff Order for (NPCL) True-up  (FY 19), ARR & Tariff (FY21) ",04/12/2020,0000-00-00,0000-00-00,0000-00-00
77,GZT-FIN,CG,RE,Renewables,REG,"CSERC (Renewable Purchase Obligation and REC framework Implementation) Regulations, 2021",11/11/2021,0000-00-00,0000-00-00,0000-00-00
78,GZT-FIN,DL,OTH,Others,REG,"DERC (Business Plan) Regulations, 2017",0000-00-00,01/09/2017,02/09/2017,0000-00-00
79,TR-TUP,NG,TD,Tariff,TRF,NERC Tariff Order for (FEM) Generation Tariff,20/02/2020,0000-00-00,0000-00-00,0000-00-00
80,PET,NG,TD,Tariff,TRF,"NERC Tariff Order for (DPN) APR (FY 20), ARR (FY21 to FY 25), Tariff (FY 21)",20/03/2020,0000-00-00,0000-00-00,0000-00-00
81,TR-TUP,NG,TD,Tariff,TRF,NERC Tariff Order for (HEPL) Generation Tariff,27/08/2020,0000-00-00,0000-00-00,0000-00-00
82,GZT-FIN,DL,OTH,Others,REG,"DERC (Business Plan) Regulations, 2019",0000-00-00,02/06/2020,03/06/2020,0000-00-00
83,SOR,DL,OTH,Others,REG,"DERC (Business Plan) (Statement of Reasons) Regulations, 2019",0000-00-00,02/06/2020,0000-00-00,0000-00-00
84,AMN,DL,OTH,Others,REG,"DERC (Business Plan) (1st Amd) Regulations, 2021",0000-00-00,13/04/2021,20/04/2021,0000-00-00
85,GZT-FIN,DL,DSM,Market,REG,"DERC (Demand Side Management) Regulations, 2014",0000-00-00,18/11/2014,18/11/2014,0000-00-00
86,TR-TUP,ML,TD,Tariff,TRF,"MSERC Tariff Order for (MePTCL) ARR(FY 22 to FY 24), Transmission & Open Access Charges (FY 22)",25/03/2021,25/03/2021,0000-00-00,0000-00-00
