Title,type,ERC
"Adjudicating Officer for carrying out the function of adjudication under Section 26 of the Energy Conservation Act, 2001",Public Notice,GJERC
Service Regulations for the staff of the Commission,Public Notice,GJERC
Appointment of consultants regulations,Public Notice,GJERC
Orders on Procedure,Public Notice,GJERC
"Fees, Fines & Charges",Public Notice,GJERC
Procedure for Filing Appeal before the Appellate Authority,Public Notice,GJERC
Conduct of Business Regulation,Public Notice,GJERC
