Title,type,ERC
"UPERC (Appointment of Consultants) First Amendment Regulations, 2007",Public Notice,UPERC
UP Electricity Grid Code 2007,Public Notice,UPERC
"UPERC (Procedure, terms and conditions for payment of fee and charges to State Load Despatch Centre and Other related provisions) Regulations, 2004 (Notified on 18-06-2005)",Public Notice,UPERC
"UPERC (Consumer Grievance Redressal Forum & Electricity Ombudsman) Regulations, 2007 (Notified on 04-12-2007)",Public Notice,UPERC
"Uttar Pradesh Electricity Regulatory Commission (Treatment of income of Other Businesses of Transmission Licensees and Distribution Licensees) Regulations, 2004",Public Notice,UPERC
"Uttar Pradesh Electricity Regulatory Commission (Fees & Fines) Regulations, 2010",Public Notice,UPERC
"Uttar Pradesh Electricity Regulatory Commission (Grant of Connectivity to intra-State Transmission System) Regulations, 2010 (Notification dated 28-10-2010)",Public Notice,UPERC
"Uttar Pradesh Electricity Regulatory Commission (Promotion of Green Energy through Renewable Purchase Obligation) Regulations,2010 (Notified)",Public Notice,UPERC
Amendment No. 4 to the U.P. Electricity Supply Code 2005 (Notified dt 14/06/08),Public Notice,UPERC
"UPERC (Terms & Conditions for supply of Power and Fixation of Tariff for sale of power from Captive Generating Plants, Co-generation, Renewable Sources of Energy and other Non-Conventional Sources of Energy based plants to a Distribution Licensee) (First Amendment) Regulations, 2008",Public Notice,UPERC
"U.P. Electricity Supply Code 2005, consolidated upto 3rd Amendment. (Notified dt 14/09/06)",Public Notice,UPERC
"UPERC (Terms & Conditions for Supply and fixation of Tariff for sale of power from Captive, Co-gen, Renewables & other NCES) Regulations, 2005",Public Notice,UPERC
"Amendment No. 2 to the U.P. Electricity Supply Code, 2005",Public Notice,UPERC
"Amendment No. 1 to the U.P. Electricity Supply Code, 2005",Public Notice,UPERC
U.P. Electricity Supply Code - 2005,Public Notice,UPERC
U.P. Electricity Regulatory Commission (Constitution of State Advisory Committee and its Functioning) Regulations - 2004,Public Notice,UPERC
