Title,type,ERC
"Adjudicating Officer for carrying out the function of adjudication under Section 26 of the Energy Conservation Act, 2001",Public Notice,GERC
Service Regulations for the staff of the Commission,Public Notice,GERC
Appointment of consultants regulations,Public Notice,GERC
Orders on Procedure,Public Notice,GERC
"Fees, Fines & Charges",Public Notice,GERC
Procedure for Filing Appeal before the Appellate Authority,Public Notice,GERC
Conduct of Business Regulation,Public Notice,GERC
