Title,type,ERC
Order dated 22/05/23 for 1943 of 2022- Tata Power Renewable Energy Ltd. vs UPPCL UPNEDA - Seeking approval of the cost incurred on account of imposition of Safeguard Duty for the period of 30.07.2020 to 29.07.2021 on the import of solar cells vide Notification No. 02/2020 customs (SG) dated 29.07.2020 issued by the MoF (Change in Law) in Petition no 1943/2022,Public Notice,GERC
"Order dated 22/05/23 for 1952 of 2023 - Tata Power Renewable Energy Ltd. vs UPPCL, UPNEDA - Seeking declaration of event of Change in Law due to change in the rate of Basic Custom Duty from 5% to 20% effective from 02.02.2021 issued by the MoF (ii) declaration of event of change in law  due to change in the rate of GST on the Solar Invertors vide MoF notification  No. 8/2021 Central Tax (rate )date 30.09.2021 (iii) Approval  of the cost incurred due to change in the rate of Basic Custom Duty and (iv) approval of the cost incurred due to change in rate of GST along with affidavit. in Petition no 1952/2023",Public Notice,GERC
"Order dated 22/05/23 for 1953 of 2023 - Tata Power Renewable Energy Ltd. vs UPPCL, UPNEDA - Seeking declaration of event of Change in Law due to change in the rate of Basic Custom Duty from 5% to 20% effective from 02.02.2021  On the Import of Solar Inverters vide Notification No. 07/2021 customers date 01.02.2021 issued by the MoF (ii) declaration of event of change in law  due to change in the rate of GST on the Solar Invertors vide MoF notification  No. 8/2021 Central Tax (rate )date 30.09.2021 (iii) Approval  of the cost incurred due to change in the rate of Basic Custom Duty and (iv) approval of the cost incurred due to change in rate of GST along with affidavit. in Petition no 1953/2023",Public Notice,GERC
Order dated 22/05/23 for 1954 of 2023 - Tata Power Renewable Energy Ltd. vs UPPCL UPNEDA - Seeking declaration of event of Change in Law due to change in the rate of Basic Custom Duty from 5% to 20% effective from 02.02.2021  On the Import of Solar Inverters vide Notification No. 07/2021 custom dated 01.02.2021 issued by the MoF (ii) declaration of event of change in law  due to change in the rate of GST on the Solar Invertors vide MoF notification  No. 8/2021 Central Tax (rate )date 30.09.2021 (iii) Approval  of the cost incurred due to change in the rate of Basic Custom Duty and (iv) approval of the cost incurred due to change in rate of GST along with affidavit. in Petition no 1954/2023,Public Notice,GERC
"Order dated 22/05/23 for 1960 of 2023 - Lanco Anpara Power Limited vs UPPCL, PVVNL, PuVVNL, MVVNL, DVVNL - Seeking a declaration that the costs actually incurred/to be incurred under the facilities and Services Agreement dated 12.011.2006 read with Supplementary Facilities and Services Agreement dated 20.04.2010 regarding augmentation of shared facilities is in terms of the PPA and the Facilities and Services Agreement and to direct reimbursement by the Respondents to the Petition er for such expenditure incurred / to be incurred in terms of the PPA along with affidavit. in Petition no 1960/2023",Public Notice,GERC
"Order dated 16/05/23 for Petition Number 1578 of 2020- RPSCL vs UPPCL - Petition under Regulation 15 of UPERC (Terms and conditions for determination of Generation Tariff) Regulations 2019 read with Section 61, Section  62 and Section 86 of Electricity Act 2003 seeking approval of multi year tariff for the control period FY 2019-20 to FY 2023-24
 in Petition no 1578/2020",Public Notice,GERC
Order dated 15/05/23 for Ram Shankar Singh vs State of UP and ors - Direction to opposite party 5 & 6 enhance the compensation of the petitioner as per prayer enshrined in the representation of petitioner  in Petition no 1870/2022,Public Notice,GERC
Order dated 15/05/23 for Petition Number 1908 of 2022 -  Petition Number 1908 of 2022- DSM Sugar Meerganj vs UPPCL - Grant of Approval of extension of SPPA on or before 25.11.2022 that is before the expiry of the prevailing SPPA in Petition no 1908/2022,Public Notice,GERC
"Order dated 12/05/23 for Petition Number 1798 of 2021 - Dhariwal infrastructure Limited vs NPCL - Truing up in compliance of the directive of Commission order dated 29.05.2020 in petition no. 1440 of 2019 for claiming additional recurring non-recurring expenditure incurred by DIL on account of occurrence of various Change in Law events during period FY 2020-21
 in Petition no 1798/2021",Public Notice,GERC
"Order dated 12/05/23 for Petition Number 1646 of 2020 - Bajaj Energy Limited  Maqsoodapur vs UPPCL - Fixation of MYT for the period from 01.04.2019 to 31.03.2024 
 in Petition no 1646/2020",Public Notice,GERC
